time_s,s_analytical_mm,s_numerical_mm,v_analytical_mm_s,v_numerical_mm_s,G_L_analytical_K_mm,G_L_numerical_K_mm,G_S_numerical_K_mm,G_L_from_Stefan_balance_K_mm,h_bar_W_m2K,h_i_W_m2K,liquid_model,T_analytical_3mm_C,T_analytical_10mm_C,T_analytical_15mm_C,T_analytical_30mm_C,T_analytical_50mm_C,T_analytical_90mm_C,T_numerical_3mm_C,T_numerical_10mm_C,T_numerical_15mm_C,T_numerical_30mm_C,T_numerical_50mm_C,T_numerical_90mm_C
0.250277,0.40329588,0.37319665,1.94735108,2.13230210,6.31325002,6.45019271,0.00000000,-23.75115073,4264.000000,inf,conduction,674.977415,690.314625,690.887786,690.900000,690.900000,690.900000,675.615446,690.475910,690.893690,690.900000,690.900000,690.900000
0.499984,0.89849444,0.88494459,1.99890713,2.11391359,4.65675305,4.99061769,0.00000000,-23.54632593,4264.000000,inf,conduction,669.337672,687.643172,690.489813,690.899984,690.900000,690.900000,669.961317,688.219305,690.613358,690.899995,690.900000,690.900000
0.750261,1.39825859,1.40818764,1.99077794,2.08224686,3.91794753,4.49747419,0.00000000,-23.19359862,4264.000000,inf,conduction,666.096415,684.705796,689.458916,690.898601,690.900000,690.900000,666.598723,685.610689,689.810432,690.899379,690.900000,690.900000
0.999969,1.89275540,1.92821019,1.96865805,2.05155081,3.47631917,4.24586447,8.97052308,-1.85474476,4264.000000,inf,conduction,663.781859,682.082696,688.096574,690.886381,690.900000,690.900000,664.120140,683.207542,688.696398,690.892964,690.900000,690.900000
1.250245,2.38220922,2.44308866,1.94230633,2.02154542,3.17258991,4.07304028,9.23897506,-0.89216805,4264.000000,inf,conduction,661.942396,679.787126,686.621057,690.844917,690.899996,690.900000,662.100079,681.046290,687.450439,690.868911,690.899999,690.900000
1.499953,2.86381499,2.94827802,1.91501694,1.99250317,2.94765340,3.87408651,9.58109572,0.23211389,4264.000000,inf,conduction,660.400678,677.774898,685.146504,690.757804,690.899952,690.900000,660.584449,679.101786,686.172677,690.814927,690.899984,690.900000
1.750230,3.33969284,3.44591310,1.88789174,1.96415912,2.77144569,3.64813840,9.88812222,1.26647519,4264.000000,inf,conduction,656.514414,675.981609,683.712662,690.615808,690.899715,690.900000,656.831549,677.324489,684.901194,690.722664,690.899896,690.900000
1.999937,3.80780823,3.93357493,1.86155821,1.93677066,2.62893793,3.37296869,9.92449290,1.65667937,4264.000000,inf,conduction,651.771842,674.371395,682.343881,690.418052,690.898912,690.900000,650.705423,675.688962,683.660926,690.589420,690.899566,690.900000
2.250214,4.27050626,4.41429652,1.83609952,1.91008796,2.50996694,3.08962074,10.03124233,2.20375505,4264.000000,inf,conduction,647.157195,672.903193,681.038739,690.166820,690.896877,690.900000,644.929734,674.161552,682.453678,690.415092,690.898670,690.900000
2.499922,4.72592688,4.88602261,1.81169665,1.88435330,2.40899672,2.79929885,10.25512293,3.01443489,4264.000000,inf,conduction,642.687638,671.558067,679.802093,689.868807,690.892704,690.900000,639.438956,672.728959,681.286784,690.203087,690.896723,690.900000
2.750198,5.17639598,5.35180794,1.78823860,1.86316141,2.32145652,2.53537899,10.56384662,3.97310273,4264.000000,inf,conduction,638.337530,670.310134,678.624715,689.529068,690.885282,690.900000,634.254827,671.369118,680.154151,689.956058,690.893094,690.900000
2.999906,5.62011198,5.80977290,1.76580106,1.83855666,2.24486586,2.29657208,11.00141054,5.27135657,4264.000000,inf,conduction,634.120832,669.149712,677.507458,689.155514,690.873494,690.900000,629.384267,670.076004,679.059036,689.679039,690.887095,690.900000
3.250183,6.05933332,6.26288594,1.74423661,1.80772635,2.17677999,2.09833862,11.53546349,6.86480332,4264.000000,inf,conduction,630.012407,668.059335,676.440557,688.752354,690.856167,690.900000,624.823599,668.834528,677.994106,689.374595,690.877973,690.900000
3.499891,6.49228771,6.70953516,1.72359270,1.78459946,2.11594966,1.93709244,12.19020177,8.65492687,4264.000000,inf,conduction,626.025154,667.034223,675.424389,688.326668,690.832369,690.900000,620.589547,667.643541,676.961772,689.047644,690.865068,690.900000
3.750167,6.92115959,7.15290391,1.70372359,1.76703781,2.06090419,1.82040236,12.86481075,10.42957135,4264.000000,inf,conduction,622.135359,666.061774,674.450173,687.881088,690.801129,690.899998,616.675470,666.493900,675.954776,688.699877,690.847676,690.900000
3.999875,7.34419813,7.59261847,1.68466939,1.74806494,2.01096739,1.75339872,13.37040276,11.82432373,4264.000000,inf,conduction,618.355467,665.139905,673.518574,687.421542,690.761899,690.899996,613.083187,665.393794,674.974804,688.335668,690.825315,690.899999
4.250151,7.76351752,8.03442157,1.66629543,1.72633030,1.96517592,1.77189255,12.87797323,10.91381037,4264.000000,inf,conduction,614.663318,664.258999,672.621957,686.949251,690.713979,690.899990,609.538494,664.365427,674.014514,687.955802,690.797412,690.899998
4.499859,8.17738652,8.48711377,1.64864049,1.70509361,1.92314828,2.99478613,7.77079198,-0.80381124,4264.000000,inf,conduction,611.071080,663.418525,671.761368,686.469148,690.657234,690.899978,605.492019,663.493802,673.077423,687.564115,690.763715,690.899994
4.750136,8.58785512,8.90002389,1.63158239,1.68845991,1.88421139,2.32342691,8.73583034,1.64029322,4264.000000,inf,conduction,607.558060,662.610800,670.930173,685.981387,690.591195,690.899956,601.597463,662.440985,672.159348,687.160651,690.723779,690.899988
4.999844,8.99321151,9.30863420,1.61516014,1.67281311,1.84814670,1.92872820,9.85089072,4.42455537,4264.000000,inf,conduction,604.136193,661.836218,670.129732,685.490140,690.516082,690.899916,597.993633,661.396712,671.264518,686.748816,690.677578,690.899976
5.250120,9.39544757,9.71629047,1.59926324,1.65320895,1.81445962,1.69716453,11.04866494,7.44650232,4264.000000,inf,conduction,600.786110,661.088416,669.354229,684.994802,690.431582,690.899851,594.640901,660.452896,670.390114,686.328096,690.624767,690.899955
5.499828,9.79287109,10.12319338,1.58393110,1.63252915,1.78302663,1.57765080,12.15996335,10.27802020,4264.000000,inf,conduction,597.519515,660.368349,668.605254,684.498984,690.338194,690.899747,591.460001,657.009484,669.542942,685.901576,690.565511,690.899922
5.750105,10.18742132,10.53683839,1.56906351,1.61583657,1.75346941,1.58928584,12.10549404,10.33646029,4264.000000,inf,conduction,594.318221,658.455608,667.877648,684.001559,690.235681,690.899590,588.152461,652.380514,668.714433,685.468330,690.499524,690.899869
5.999812,10.57742585,10.95803961,1.55470009,1.60032611,1.72572216,2.48525891,7.55057028,-0.15229763,4264.000000,inf,conduction,591.193694,655.260323,667.173155,683.505727,690.124752,690.899361,584.774097,652.682858,667.868151,685.031211,690.427131,690.899790
6.250089,10.96477608,11.34247385,1.54074951,1.57916630,1.69948585,1.88773705,8.86418626,3.15812340,4264.000000,inf,conduction,588.128796,652.111982,666.487147,683.010008,690.005188,690.899038,581.621786,647.924686,667.029283,684.589001,690.348066,690.899676
6.499797,11.34781940,11.72584737,1.52725132,1.56152870,1.67473084,1.59071031,10.32966909,6.78478003,4264.000000,inf,conduction,585.134745,649.023854,665.821466,682.517297,689.877847,690.898595,578.658272,643.568281,666.211512,684.144381,690.262782,690.899514
6.750073,11.72840352,12.11323925,1.51412188,1.55077152,1.65121432,1.46512644,11.64822964,9.99090250,4264.000000,inf,conduction,582.195343,645.980753,665.171916,682.025880,689.742488,690.898001,575.726653,639.991066,665.427321,683.695907,690.171008,690.899293
6.999781,12.10489554,12.51347514,1.50140038,1.54143234,1.62892975,1.57033854,10.39018944,7.15028567,4264.000000,inf,conduction,579.321553,642.995349,664.540398,681.538427,689.600076,690.897227,572.698624,638.548700,664.753661,683.246121,690.073299,690.898997
7.250058,12.47910304,12.90216878,1.48900981,1.52809454,1.60767552,2.01991394,7.79396175,1.22196731,4264.000000,inf,conduction,576.498016,640.052850,663.923069,681.053070,689.450320,690.896233,569.801235,635.013199,663.957403,682.793425,689.969359,690.898610
7.499765,12.84941258,13.26785636,1.47698883,1.51353535,1.58746005,1.58542254,9.37761637,5.09093426,4264.000000,inf,conduction,573.735439,637.165432,663.321860,680.572305,689.294259,690.894986,567.060168,631.253311,663.135849,682.340295,689.859822,690.898113
7.750042,13.21759471,13.63826582,1.46526620,1.50036886,1.56811276,1.40610481,10.95870402,8.93837987,4264.000000,inf,conduction,571.019221,634.318738,662.733225,680.094172,689.131540,690.893438,564.342276,628.215156,662.325292,681.885040,689.744359,690.897484
7.999750,13.58205516,14.02177022,1.45387988,1.48231119,1.54965184,1.45259624,10.63861029,8.39028915,4264.000000,inf,conduction,568.359809,631.524518,662.159101,679.621028,688.963253,690.891554,561.583719,626.349889,661.583556,681.430014,689.623667,690.896706
8.250026,13.94453015,14.40016142,1.44276366,1.46937124,1.53193062,1.92224356,7.52997239,1.25816147,4264.000000,inf,conduction,565.743288,628.768866,661.596193,679.150861,688.788974,690.889282,558.942711,622.922639,661.123373,680.973371,689.497373,690.895750
8.499734,14.30344418,14.75245768,1.43195470,1.46454685,1.51497364,1.48927355,9.24195814,5.31907456,4264.000000,inf,conduction,563.179850,626.063154,661.046433,678.685917,688.609830,690.886586,556.403744,619.761108,660.370488,680.517453,689.366229,690.894597
8.750011,14.66050150,15.11194069,1.42139123,1.45186363,1.49865305,1.33554613,10.86511127,9.25959807,4264.000000,inf,conduction,560.656202,623.393922,660.506736,678.224159,688.425327,690.883408,553.848781,617.309180,657.346463,680.060515,689.229815,690.893216
8.999718,15.01414499,15.50000000,1.41110954,1.43745395,1.48299747,1.27533354,6.24528296,-1.39334051,4264.000000,inf,conduction,558.182286,620.772203,659.896033,677.767743,688.236614,690.879716,551.326326,614.868996,656.751267,679.604809,689.088926,690.891587
9.249995,15.36604900,15.84359293,1.40105178,1.42576807,1.46789414,1.64925575,7.91017335,2.63376662,4264.000000,inf,conduction,555.745376,618.184973,657.317420,677.314625,688.043130,690.875448,548.905784,611.795825,653.335336,679.148250,688.943093,690.889677
9.500272,15.71546569,16.18786452,1.39123128,1.41453777,1.45334171,1.34590580,9.74920344,7.06340093,4264.000000,inf,conduction,553.349770,615.637202,654.772278,676.865870,687.845584,690.870563,546.513457,609.234546,649.186195,678.692041,688.792805,690.887459
9.749979,16.06166731,16.54446302,1.38165984,1.40681331,1.43933717,1.30377951,10.69133469,9.35464992,4264.000000,inf,conduction,550.999460,613.133532,652.265759,676.422487,687.644713,690.865031,544.124755,607.039209,646.491620,678.237709,688.638583,690.884913
10.000256,16.40628676,16.90901399,1.37228469,1.39922627,1.42578537,1.83261212,7.00773196,0.81710090,4264.000000,inf,conduction,548.682483,610.661566,649.785908,675.982450,687.439861,690.858782,541.817476,604.181572,645.446984,677.783207,688.479888,690.882000
10.249964,16.74781089,17.24072410,1.36313983,1.38351239,1.41271932,1.37467526,8.87856770,5.37112274,4264.000000,inf,conduction,546.408182,608.231588,647.343449,675.547741,687.232205,690.851801,539.557283,601.683420,641.701188,677.330212,688.317601,690.878704
10.500240,17.08784696,17.58351856,1.35417545,1.37344047,1.40005318,1.24764675,10.51258486,9.30798882,4264.000000,inf,conduction,544.165056,605.831599,644.926700,675.116355,687.021034,690.844015,537.292038,599.503554,639.045435,676.877025,688.151136,690.874982
10.749948,17.42489858,17.94830505,1.34542462,1.36874388,1.38782040,1.97285897,6.45430327,-0.13875191,4264.000000,inf,conduction,541.962217,603.471613,642.546090,674.690219,686.807529,690.835418,535.098763,596.895201,637.754303,676.426587,687.981401,690.870824
11.000225,17.76054880,18.27132755,1.33684021,1.35672593,1.37594294,1.38919996,8.32011147,4.36233433,4264.000000,inf,conduction,539.788590,601.140007,640.190213,674.267353,686.590930,690.825933,532.942121,594.508354,634.368861,675.976086,687.807766,690.866183
11.249932,18.09331753,18.60323243,1.32845435,1.34482922,1.36445426,1.21694861,10.16442589,8.81176034,4264.000000,inf,conduction,537.653067,598.846542,637.869221,673.849636,686.372418,690.815566,530.795997,592.369229,631.965545,675.526835,687.631162,690.861055
11.500209,18.42476487,18.96441883,1.32022233,1.33878315,1.35328297,2.01635063,6.16149800,-0.49038456,4264.000000,inf,conduction,535.544968,596.579955,635.571986,673.435119,686.151187,690.804236,528.701867,589.917954,630.325356,675.078809,687.450920,690.855388
